"vmin","0.1–0.3 eV","0.3–0.5 eV","0.5–0.7 eV","0.7–0.9 eV","0.9–1.1 eV"
1,0,0,0,0,0
1.0112221197368427,0,0,0,0,0
1.0225701754450736,0,0,0,0,0
1.0340455803932427,0,0,0,0,0
1.0456497637097688,0,0,0,0,0
1.057384170560921,0,0,0,0,0
1.069250262330798,0,0,0,0,0
1.081249516803325,0,0,0,0,0
1.093383428346295,0,0,0,0,0
1.105653508097477,0,0,0,0,0
1.1180612841528073,0,0,0,0,0
1.1306083017566981,0,0,0,0,0
1.1432961234944803,0,0,0,0,0
1.1561263294870037,0,0,0,0,0
1.1691005175874234,0,0,0,0,0
1.1822203035801944,0,0,0,0,0
1.195487321382298,0,0,0,0,0
1.2089032232467276,0,0,0,0,0
1.2224696799682575,0,0,0,0,0
1.2361883810915213,0,0,0,0,0
1.2500610351214243,0,0,0,0,0
1.2640893697359186,0,0,0,0,0
1.2782751320011652,0,0,0,0,0
1.2926200885891108,0,0,0,0,0
1.3071260259975062,0,0,0,0,0
1.3217947507723937,0,0,0,0,0
1.3366280897330918,0,0,0,0,0
1.351627890199704,0,0,0,0,0
1.3667960202231813,0,0,0,0,0
1.3821343688179661,0,0,0,0,0
1.397644846197247,0,0,0,0,0
1.4133293840108536,0,0,0,0,0
1.4291899355858217,0,0,0,0,0
1.4452284761696566,0,0,0,0,0
1.4614470031763274,0,0,0,0,0
1.4778475364350223,0,0,0,0,0
1.4944321184416942,0,0,0,0,0
1.5112028146134304,0,0,0,0,0
1.5281617135456762,0,0,0,0,0
1.5453109272723446,0,0,0,0,0
1.5626525915288465,0,0,0,0,0
1.5801888660180712,0,0,0,0,0
1.5979219346793516,0,0,0,0,0
1.615854005960451,0,0,0,0,0
1.6339873130925961,0,0,0,0,0
1.6523241143686034,0,0,0,0,0
1.6708666934241205,0,0,0,0,0
1.6896173595220287,0,0,0,0,0
1.7085784478400332,0,0,0,0,0
1.727752319761483,0,0,0,0,0
1.7471413631694541,0,0,0,0,0
1.7667479927441327,0,0,0,0,0
1.786574650263534,0,0,0,0,0
1.8066238049075996,0,0,0,0,0
1.826897953565703,0,0,0,0,0
1.8473996211476107,0,0,0,0,0
1.868131360897927,0,0,0,0,0
1.8890957547140748,0,0,0,0,0
1.9102954134678376,0,0,0,0,0
1.9317329773305152,0,0,0,0,0
1.9534111161017262,0,0,0,0,0
1.9753325295418995,0,0,0,0,0
1.9974999477084991,0,0,0,0,0
2.0199161312960214,0,0,0,0,0
2.0425838719798057,0,0,0,0,0
2.0655059927637067,0,0,0,0,0
2.0886853483316674,0,0,0,0,0
2.1121248254032348,0,0,0,0,0
2.135827343093068,0,0,0,0,0
2.159795853274481,0,0,0,0,0
2.1840333409470643,0,0,0,0,0
2.2085428246084287,0,0,0,0,0
2.23332735663013,0,0,0,0,0
2.2583900236377996,0,0,0,0,0
2.2837339468955546,0,0,0,0,0
2.3093622826947087,0,0,0,0,0
2.3352782227468576,0,0,0,0,0
2.3614849945813643,0,0,0,0,0
2.387985861947314,0,0,0,0,0
2.4147841252199744,0,0,0,0,0
2.44188312181182,0,0,0,0,0
2.469286226588168,0,0,0,0,0
2.4969968522874773,0,0,0,0,0
2.525018449946367,0,0,0,0,0
2.553354509329402,0,0,0,0,0
2.5820085593637043,0,0,0,0,0
2.610984168578437,0,0,0,0,0
2.640284945549225,0,0,0,0,0
2.669914539347562,0,0,0,0,0
2.6998766399952583,0,0,0,0,0
2.7301749789239897,0,0,0,0,0
2.7608133294400066,0,0,0,0,0
2.791795507194054,0,0,0,0,0
2.8231253706565664,0,0,0,0,0
2.8548068215981925,0,0,0,0,0
2.886843805575723,0,0,0,0,0
2.9192403124234567,0,0,0,0,0
2.9520003767500906,0,0,0,0,0
2.985128078441186,0,0,0,0,0
3.0186275431672644,0,0,0,0,0
3.0525029428976187,0,0,0,0,0
3.086758496419881,0,0,0,0,0
3.1213984698654222,0,0,0,0,0
3.1564271772406496,0,0,0,0,0
3.1918489809642687,0,0,0,0,0
3.2276682924105695,0,0,0,0,0
3.263889572458812,0,0,0,0,0
3.3005173320487775,0,0,0,0,0
3.337556132742554,0,0,0,0,0
3.3750105872926244,0,0,0,0,0
3.412885360216335,0,0,0,0,0
3.451185168376801,0,0,0,0,0
3.4899147815703406,0,0,0,0,0
3.529079023120501,0,0,0,0,0
3.5686827704787394,0,0,0,0,0
3.60873095583186,0,0,0,0,0
3.649228566716256,0,0,0,0,0
3.690180646639053,0,0,0,0,0
3.731592295706217,0,0,0,0,0
3.7734686712577123,0,0,0,0,0
3.815814988509792,0,0,0,0,0
3.8586365212044873,0,0,0,0,0
3.9019386022663993,0,0,0,0,0
3.9457266244668414,0,0,0,0,0
3.990006041095457,0,0,0,0,0
4.034782366639356,0,0,0,0,0
4.080061177469886,0,0,0,0,0
4.1258481125370965,0,0,0,0,0
4.172148874072015,0,0,0,0,0
4.218969228296784,0,0,0,0,0
4.2663150061427855,0,0,0,0,0
4.3141921039768105,0,0,0,0,0
4.362606484335379,0,0,0,0,0
4.4115641766673175,0,0,0,0,0
4.461071278084645,0,0,0,0,0
4.5111339541219015,0,0,0,0,0
4.561758439503994,0,0,0,0,0
4.612951038922661,0,0,0,0,0
4.6647181278216445,0,0,0,0,0
4.7170661531906815,0,0,0,0,0
4.770001634368396,0,0,0,0,0
4.823531163854213,0,0,0,0,0
4.877661408129377,0,0,0,0,0
4.932399108487184,0,0,0,0,0
4.987751081872522,0,0,0,0,0
5.043724221730864,0,0,0,0,0
5.1003254988667415,0,0,0,0,0
5.157561962311897,0,0,0,0,0
5.215440740203147,0,0,0,0,0
5.273969040670115,0,0,0,0,0
5.3331541527329165,0,0,0,0,0
5.393003447209925,0,0,0,0,0
5.453524377635722,0,0,0,0,0
5.514724481189342,0,0,0,0,0
5.576611379632947,0,0,0,0,0
5.639192780261029,0,0,0,0,0
5.702476476860256,0,0,0,0,0
5.766470350680112,0,0,0,0,0
5.831182371414398,0,0,0,0,0
5.896620598193776,0,0,0,0,0
5.962793180589441,0,0,0,0,0
6.029708359628045,0,0,0,0,0
6.0973744688180345,0,0,0,0,0
6.165799935187479,0,0,0,0,0
6.234993280333571,0,0,0,0,0
6.304963121483883,0,0,0,0,0
6.375718172569553,0,0,0,0,0
6.447267245310494,0,0,0,0,0
6.519619250312791,0,0,0,0,0
6.592783198178427,0,0,0,0,0
6.666768200627432,0,0,0,0,0
6.74158347163265,0,0,0,0,0
6.817238328567232,0,0,0,0,0
6.893742193365008,0,0,0,0,0
6.971104593693874,0,0,0,0,0
7.049335164142362,0,0,0,0,0
7.128443647419504,0,0,0,0,0
7.208439895568181,0,0,0,0,0
7.289333871192085,0,0,0,0,0
7.371135648696425,0,0,0,0,0
7.453855415542608,0,0,0,0,0
7.537503473516939,0,0,0,0,0
7.622090240013614,0,0,0,0,0
7.707626249332068,0,0,0,0,0
7.794122153988906,0,0,0,0,0
7.881588726044549,0,0,0,0,0
7.970036858444774,0,0,0,0,0
8.05947756637729,0,0,0,0,0
8.149921988643573,0,0,0,0,0
8.24138138904606,0,0,0,0,0
8.333867157790923,0,0,0,0,0
8.427390812906594,0,0,0,0,0
8.521964001678201,0,0,0,0,0
8.617598502098096,0,0,0,0,0
8.714306224332677,0,0,0,0,0
8.812099212205657,0,0,0,0,0
8.910989644697967,0,0,0,0,0
9.010989837464535,0,0,0,0,0
9.112112244368035,0,0,0,0,0
9.214369459029882,0,0,0,0,0
9.317774216398622,0,0,0,0,0
9.422339394335914,0,0,0,0,0
9.528078015220323,0,0,0,0,0
9.63500324756911,0,0,0,0,0
9.743128407678201,0,0,0,0,0
9.852466961280596,0,0,0,0,0
9.963032525223374,0,0,0,0,0
10.074838869163491,0,0,0,0,0
10.18789991728264,0,0,0,0,0
10.30222975002136,0,0,0,0,0
10.417842605832563,0,0,0,0,0
10.534752882954798,0,0,0,0,0
10.652975141205367,0,0,0,0,0
10.772524103793584,0,0,0,0,0
10.89341465915438,0,0,0,0,0
11.01566186280249,0,0,0,0,0
11.139280939207433,0,0,0,0,0
11.264287283689546,0,0,0,0,0
11.390696464337305,0,0,0,0,0
11.518524223946136,0,0,0,0,0
11.647786481978985,0,0,0,0,0
11.778499336548933,0,0,0,0,0
11.910679066424008,0,0,0,0,0
12.04434213305452,0,0,0,0,0
12.179505182623158,0,0,0,0,0
12.316185048118054,0,0,0,0,0
12.454398751429148,0,0,0,0,0
12.594163505468073,0,0,0,0,0
12.735496716311811,0,0,0,0,0
12.878415985370431,0,0,0,0,0
13.022939111579129,0,0,0,0,0
13.169084093614883,0,0,0,0,0
13.316869132137981,0,0,0,0,0
13.4663126320587,1.1935108482693382e+20,0,0,0,0
13.617433204829423,2.1926203126284006e+20,0,0,0,0
13.770249670762471,2.3236142419933073e+20,0,0,0,0
13.924781061373995,2.8864596829034588e+20,0,0,0,0
14.081046621754055,4.706858001856193e+20,0,0,0,0
14.239065812963446,7.312357406892669e+20,0,0,0,0
14.398858314457307,6.026725709958205e+20,0,0,0,0
14.560444026535981,6.096401239476834e+20,0,0,0,0
14.72384307282336,1.0140252324391951e+21,0,0,0,0
14.889075802773068,8.062624322128582e+20,0,0,0,0
15.056162794202717,7.966913687532229e+20,0,0,0,0
15.225124855856663,1.9607593862400075e+21,0,0,0,0
15.395983029997469,9.849532786198696e+20,0,0,0,0
15.568758595026495,9.00798272161518e+20,0,0,0,0
15.743473068133882,8.513017359693336e+20,0,0,0,0
15.920148207978242,1.1063095908211065e+21,0,0,0,0
16.098806017396456,9.883982696020102e+20,0,0,0,0
16.279468746143884,9.641976342855236e+20,0,0,0,0
16.462158893665304,1.0508634327372015e+21,0,0,0,0
16.646899211896947,1.3090894433628777e+21,0,0,0,0
16.83371270810001,1.238471539800338e+21,0,0,0,0
17.02262264772592,1.663682698126363e+21,0,0,0,0
17.213652557313793,1.1897121888162556e+21,0,0,0,0
17.406826227420378,1.0188903033888832e+21,0,0,0,0
17.602167715582908,9.981461629150666e+20,0,0,0,0
17.79970134931516,1.6754479597307408e+21,0,0,0,0
17.999451729137217,2.353021674323427e+21,0,0,0,0
18.201443731639117,2.559179070089358e+21,0,0,0,0
18.405702512578987,1.3270382737624717e+21,0,0,0,0
18.612253510015858,1.1844118385477642e+21,0,0,0,0
18.82112244747773,1.6512862908983974e+21,0,0,0,0
19.032335337165097,1.572297173619297e+21,0,0,0,0
19.245918483190508,1.3938236345784315e+21,0,0,0,0
19.461898484854387,1.768924364361684e+21,0,0,0,0
19.680302239957705,1.470464323247706e+21,0,0,0,0
19.901156948151765,1.8069847865341143e+21,0,0,0,0
20.124490114325635,1.6551577187392923e+21,0,0,0,0
20.3503295520315,1.8937243313473313e+21,0,0,0,0
20.578703386948607,1.920775468495732e+21,0,0,0,0
20.80964006038592,1.946223123503203e+21,0,0,0,0
21.04316833282417,1.9396745790128852e+21,0,0,0,0
21.279317287497662,2.2530124668527703e+21,0,0,0,0
21.51811633401623,2.0521114374198943e+21,0,0,0,0
21.759595212027865,2.0535943477794843e+21,0,0,0,0
22.003783994922482,2.139277175615322e+21,0,0,0,0
22.25071309357713,2.1428800425100394e+21,0,0,0,0
22.50041326014339,2.233401632137921e+21,0,0,0,0
